ticker,sector,date,open,high,low,close,volume,daily_return_pct,pct_change,ma_7,ma_30,ma_50,rsi,macd,volatility_10d,signal,next_day_return
GOOGL,Technology,2021-02-01,3012.49,3059.21,3010.74,1237.6000000000001,44229925,1.2392,1.8998,271.57,3049.82,3049.82,50.39,0.0,37.6418,Sell,-1.9572
JNJ,Healthcare,2021-09-01,139.77,139.88,135.07,137.25,57603424,-1.803,-1.6834,137.69,148.86,155.74,51.68,-5.98,3.3942,Sell,-1.655
JPM,Finance,2021-07-16,196.4,200.71,195.36,198.92,75133357,1.2831,2.3304,189.96,178.73,170.64,67.75,7.57,5.015,Buy,1.2738
AMZN,E-Commerce,2021-10-15,3937.66,3988.52,3936.09,1237.6000000000001,61647398,0.0691,0.123,1240.1075,3994.66,3961.19,42.77,11.09,47.9441375,Buy,-0.7131
JNJ,Healthcare,2021-09-28,125.96,126.36,122.38,123.82,73525480,-1.699,-1.7068,125.01,134.06,142.12,36.86,-5.22,2.0929,Sell,-1.554
GOOGL,Technology,2021-02-22,3144.27,3164.99,3053.98,1237.6000000000001,42218142,-2.1843,-2.1871,1240.1075,3058.08,3075.59,55.0,20.84125,42.4349,Buy,2.118
JPM,Finance,2021-08-31,228.39,228.63,227.1,228.31,7061680,-0.035,0.6569,231.32,222.48,207.79,45.01,3.99,3.9888,Buy,0.7086
TSLA,Automotive,2021-07-01,102.28,109.74,99.42,106.4,54316242,4.0282,4.70215,87.54,77.31,82.93,50.49,0.28,15.4574,Buy,3.6082
AAPL,Technology,2021-04-09,144.44,144.96,141.07,142.22,42661003,-1.537,-1.8496,149.24,152.05,153.73,60.38,-1.47,3.7707,Sell,-1.1948
GOOGL,Technology,2021-02-11,3120.76,3134.11,3112.93,1237.6000000000001,9313158,0.0769,-0.0048,1240.1075,2996.52,3123.16,71.95,20.84125,47.9441375,Hold,-0.3367
JNJ,Healthcare,2021-09-17,126.28,126.6,126.14,126.45,21773959,0.1346,-0.079,131.9,139.48,147.04,43.02,-4.48,3.9003,Sell,-0.1528
JPM,Finance,2021-07-09,184.22,184.52,181.2,183.37,73185331,-0.4614,-0.4452,184.32,174.23,166.74,65.54,6.09,2.5159,Buy,-0.2343
GOOGL,Technology,2021-12-13,2689.5,2697.16,2675.12,1237.6000000000001,61668945,-0.2766,-0.2863,1240.1075,2696.21,2701.65,56.65,-0.35,28.5586,Buy,-4.1903
NFLX,Entertainment,2021-04-12,446.58,450.9,435.08,437.58,58905704,-2.0153,-3.1045,447.64,436.71,431.58,53.33,6.67,9.511,Buy,-2.7243
AMZN,E-Commerce,2021-07-05,3541.64,3614.24,3540.37,1237.6000000000001,7637878,1.6077,1.3539,1240.1075,3393.95,3260.54,60.49,20.84125,47.9441375,Buy,-0.8647
GOOGL,Technology,2021-09-23,2640.83,2693.35,2636.02,1237.6000000000001,43312141,1.403,1.1364,1240.1075,2701.73,2742.43,57.77,-7.88,29.0645,Sell,5.6016
JPM,Finance,2021-03-12,129.0,130.01,126.52,128.4,75383103,-0.4651,0.9513,130.05,137.73,142.28,36.3,-3.99,4.2386,Sell,-0.7147
JPM,Finance,2021-11-01,238.68,240.4,238.04,239.83,29553925,0.4818,0.5872,242.03,239.92,235.98,40.18,-0.19,3.1962,Buy,0.5074
AAPL,Technology,2021-10-04,135.8,139.32,134.51,138.17,12109332,1.7452,2.0684,135.58,140.31,142.8,49.89,-3.0,1.8478,Sell,2.0485
AAPL,Technology,2021-06-03,133.54,134.19,132.49,133.62,30017068,0.0599,-0.0748,135.19,137.78,140.44,62.16,-1.34,3.3049,Sell,0.3841
NFLX,Entertainment,2021-01-05,521.74,532.24,520.22,524.58,12682126,0.5443,0.5463,524.58,524.58,524.58,32.43,0.0,0.01,Hold,-0.3736
MSFT,Technology,2021-07-13,285.38,290.0,284.4,287.87,59701179,0.8725,0.7525,281.95,282.62,279.55,23.3,-0.68,3.8272,Hold,0.9966
GOOGL,Technology,2021-02-23,3076.19,3099.08,3071.49,1237.6000000000001,56844834,-0.0842,-0.0647,1240.1075,3061.29,3073.6,58.81,20.84125,42.6064,Buy,2.2393
MSFT,Technology,2021-09-13,338.06,338.22,335.31,335.8,71201760,-0.6685,-0.9381,342.93,340.92,323.1,53.5,-1.64,4.2616,Buy,-0.4059
MSFT,Technology,2021-02-18,314.95,315.94,314.92,315.81,25944009,0.2731,0.0697,319.51,316.07,315.81,29.26,4.24,4.3298,Buy,0.7711
GOOGL,Technology,2021-04-26,2686.41,2693.94,2624.2,1237.6000000000001,48803057,-0.9775,-1.2312,1240.1075,2849.35,2932.47,32.55,-19.588749999999997,34.7063,Sell,-2.1553
JNJ,Healthcare,2021-06-16,178.83,181.87,177.79,179.95,37785820,0.6263,0.8519,177.73,181.88,181.56,49.3,-3.53,1.8808,Sell,0.8478
NFLX,Entertainment,2021-08-05,527.1,555.48,526.88,547.9,11643728,3.9461,3.6668,522.76,475.11,473.95,69.42,20.84125,21.2018,Buy,3.513
AAPL,Technology,2021-06-07,131.32,132.75,130.34,131.66,15401947,0.2589,-0.4009,133.38,137.43,139.67,59.16,-1.51,2.7504,Sell,0.0749
JPM,Finance,2021-12-23,238.0,243.91,237.09,242.28,41094462,1.7983,1.7,242.65,249.73,246.55,39.83,-3.94,3.6184,Sell,1.4872
JPM,Finance,2021-03-19,127.49,129.18,126.93,128.0,22956190,0.4,-0.3426,128.06,135.49,139.19,46.02,-5.73,1.5105,Sell,0.5479
NFLX,Entertainment,2021-04-14,431.2,435.84,417.27,419.86,46591422,-2.6299,-3.4627,439.81,436.65,431.43,54.44,3.28,11.8705,Buy,-1.9048
JPM,Finance,2021-12-21,241.69,243.08,240.09,242.48,41590292,0.3269,0.2356,245.35,250.09,246.62,23.84,-3.54,3.0142,Hold,0.6979
